recency,frequency,monetary,total_transactions,total_spent,total_refund,avg_transaction,std_transaction,unique_categories,refund_ratio,CustomerId,is_high_risk
83.0,1.0,0.0,1.0,0.0,10000.0,-10000.0,0.0,1.0,10000000000.0,CustomerId_1,1
83.0,1.0,0.0,1.0,0.0,10000.0,-10000.0,0.0,1.0,10000000000.0,CustomerId_10,1
89.0,5.0,25200.0,5.0,25200.0,5200.0,4000.0,6558.963332722634,2.0,0.2063492063410179,CustomerId_1001,1
25.0,11.0,4500.0,11.0,4500.0,275.0,384.09090909090907,560.4989660196449,2.0,0.06111111109753086,CustomerId_1002,0
11.0,6.0,26000.0,6.0,26000.0,6000.0,3333.3333333333335,6030.478145774734,2.0,0.23076923076035502,CustomerId_1003,0
52.0,1.0,2000.0,1.0,2000.0,-0.0,2000.0,0.0,1.0,-0.0,CustomerId_1004,1
46.0,9.0,55000.0,9.0,55000.0,6200.0,5422.222222222223,5983.6815126178335,2.0,0.11272727272522313,CustomerId_1005,1
64.0,1.0,1000.0,1.0,1000.0,-0.0,1000.0,0.0,1.0,-0.0,CustomerId_1006,1
81.0,1.0,28000.0,1.0,28000.0,-0.0,28000.0,0.0,1.0,-0.0,CustomerId_1007,1
65.0,2.0,20000.0,2.0,20000.0,-0.0,10000.0,0.0,1.0,-0.0,CustomerId_1008,1
27.0,1.0,500.0,1.0,500.0,-0.0,500.0,0.0,1.0,-0.0,CustomerId_1009,0
41.0,7.0,28000.0,7.0,28000.0,1665.0,3762.1428571428573,4971.798816946486,3.0,0.05946428571216199,CustomerId_1010,1
4.0,74.0,128900.0,74.0,128900.0,3994.0,1687.918918918919,3441.4863138083697,2.0,0.03098525989114829,CustomerId_1012,0
49.0,8.0,763880.0,8.0,763880.0,-0.0,95485.0,119332.84340149493,1.0,-0.0,CustomerId_1014,1
4.0,5.0,26000.0,5.0,26000.0,6000.0,4000.0,6745.368781616021,2.0,0.23076923076035502,CustomerId_1016,0
26.0,203.0,295400.0,203.0,295400.0,3205.0,1439.384236453202,2500.4482251946347,3.0,0.010849695328331585,CustomerId_1020,0
77.0,1.0,5000.0,1.0,5000.0,-0.0,5000.0,0.0,1.0,-0.0,CustomerId_1021,1
34.0,1.0,7000.0,1.0,7000.0,-0.0,7000.0,0.0,1.0,-0.0,CustomerId_1022,0
11.0,16.0,18500.0,16.0,18500.0,1300.0,1075.0,1803.6536992079898,2.0,0.07027027026647188,CustomerId_1025,0
0.0,14.0,27000.0,14.0,27000.0,230.0,1912.142857142857,3484.2705418482087,3.0,0.008518518518203018,CustomerId_1027,0
25.0,1.0,500.0,1.0,500.0,-0.0,500.0,0.0,1.0,-0.0,CustomerId_1028,0
7.0,9.0,57000.0,9.0,57000.0,6000.0,5666.666666666667,8692.669325356856,3.0,0.10526315789289012,CustomerId_1029,0
30.0,8.0,3500.0,8.0,3500.0,1150.0,293.75,713.8614811612364,2.0,0.32857142847755105,CustomerId_1030,0
14.0,50.0,123500.0,50.0,123500.0,16661.2,2136.776,4615.395748241059,4.0,0.13490850202319912,CustomerId_1031,0
